,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK
1,Бесплатная база качественных ссылок для увеличения трафика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Забирайте нашу бесплатную подборку сайтов для размещения ссылок. ,,
Мы добавили сюда то, чего нет в других базах — актуальные данные из Ahrefs (трафик, GEO, DR). ,,
И мы обновляем эти данные каждый месяц, чтобы вы принимали решения на основе свежей информации.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"↓ Получите ссылочную стратегию, адаптированную под ваш сайт ↓",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ЗАБРАТЬ СТРАТЕГИЮ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Список сайтов,DR,Dof/Nof,Дополнение,Mode,Protocol,URL Rating,Ahrefs Rank,Organic / Total Keywords,Organic / Keywords (Top 3),Organic / Keywords (4-10),Organic / Keywords (11-20),Organic / Keywords (21-50),Organic / Keywords (51+),Organic / Traffic,Organic / Value,Organic / Top Countries,Paid / Keywords,Paid / Ads,Paid / Traffic,Paid / Cost,Ref. domains / All,Ref. domains / Followed,Ref. domains / Not followed,Ref. IPs / IPs,Ref. IPs / Subnets,Backlinks / All,Backlinks / Followed,Backlinks / Not followed,Backlinks / Redirects,Backlinks / Internal,Outgoing domains / Followed,Outgoing domains / All time,Outgoing links / Followed,Outgoing links / All time,Статус,Автоматизация
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://social.microsoft.com/,96,dofollow,"безанкор, DF. Регаемся, заполняем профиль, в био вносим темат текст.",subdomains,both,9,21,,,,,,,,,,,,,,3168911,2913011,340526,904806,320131,"4,07E+09","3,73E+09","3,43E+08",1586151,"2,03E+08",36179,63032,11165396,11893596,,Вручную
7,openstreetmap.org,94,dofollow,профиль,subdomains,both,50,101,183613,3874,11522,21850,66415,79952,384147,59660.05,"(us, 58495)",,,,,405009,357991,53630,184728,75250,"2,81E+08","2,47E+08",34513597,16509,21130641,1653,52385,958105,3492046,,Полуавто
8,Dribbble.com,93,dofollow,Аналогично проходим быструю регистрацию и переходим в раздел информации о профиле. Указываем контент со ссылкой в биографию и дополнительно проставляем линк в поле Веб-сайт.,subdomains,both,62,125,699895,23836,80117,132656,290876,172410,3352921,1013177.07,"(in, 749672)",14,22,20,13.99,314912,265699,57493,161551,54747,"1,25E+08","1,12E+08",13286163,19463,"4,45E+08",3484,7410,10656982,13203116,,Вручную
9,linktr.ee,93,dofollow,,subdomains,both,52,133,1392807,119178,237895,276626,487672,271436,14041818,2662028.39,"(us, 3991384)",675,853,5868,1622.83,681140,580051,123492,270871,95386,"1,63E+08","1,41E+08",22616453,1350451,488,4,5,26,34,,Полуавто
10,Bandcamp.com,93,dofollow,"Для регистрации используйте ссылку https://bandcamp.com/artists. После регистрации создаете новый альбом, вставляете фотографию 1400х1400 и в описание к альбому вставляете нужный текст со ссылкой на ваш сайт.",subdomains,both,53,161,1144816,49098,138428,183087,386516,387687,2280106,215811.52,"(us, 808360)",8,23,2,0.69,395343,342175,71985,166417,61581,"1,68E+08","1,54E+08",13478240,207622,"2,67E+08",15698,215617,25341262,35928332,,Вручную
11,https://groups.google.com/my-groups,92,dofollow,"Нужна активная учетная запись g-mail.,,Вручную
Нужно перейти по адресу: https://groups.google.com/my-groups во время входа в систему и создать группу.,,Полуавто
После того, как все данные заплонены, на левой боковой панели нажмите на самый нижний значок колеса настроек.,,Полуавто
После этого вы можете добавить «приветственное сообщение» и настроить там свой контент и ссылки.,,Полуавто
Пример как выглядит ссылка: https://groups.google.com/g/arabic-news-x2r?pli=1",subdomains,both,44,543,1211503,15788,107498,211326,530970,345921,928843,130401.21,"(us, 184184)",,,,,32564939,31777220,2611922,3421981,627664,"3,68E+10","3,09E+10","5,86E+09",60188959,"2,19E+08",211682,246028,10592853,11089273,,Полуавто
12,https://www.twitch.tv/shukugf,93,dofollow,"Нужно зарегистрироваться подтвердить мыло.,,Вручную
Создать профиль стримера, редактировать профиль, добавив свой сайт и текст.,,Полуавто
Как выглядит (слева в экране канала описание и ссылка) - https://www.twitch.tv/shukugf,,Полуавто
,,
Вариантов использование два, надо тестить какой лучше.,,Полуавто
Либо вы всегда не в сети и только описание и ссылка и видны, либо идет какой-то стрим описание смещается со ссылкой, но реакция ПС на живой стрим может быть лучше.",subdomains,both,0,173,1709090,69764,128572,182073,624853,703828,36708011,3148007.09,"(us, 7564609)",,,,,369872,294835,101605,211728,77857,"5,45E+08","4,88E+08",57112393,2025770,4745740,15451,15456,228442,401888,,Полуавто
13,https://disqus.com/,92,dofollow,"Создать профиль, заполнить о себе.,,Полуавто
Выглядит так: https://disqus.com/by/laurafrancolaw/about/,,Полуавто
,,
Много юзают с плохо заполненными профилями. В индекс гугл берет всеравно, но вот вес, явно не передает норм, поэтому делайте норм профиля используйте правильно - ссылка сработает отлично тогда.,,Полуавто
,,
P.S>,,Полуавто
Важный момент, дискус это почти постоянный быстробот, и именно в вашем профиле он сидит, это супер индексатор, моментом отправляет в индекс всё, что там вы напишете.",subdomains,both,58,298,9763,212,582,1080,3484,4405,55718,5514.39,"(us, 21574)",,,,,206165,154027,65806,145417,50040,"3,34E+08","2,88E+08",46802830,37357,1760563,36016,36450,249085,2466897,,Полуавто
14,https://plaza.rakuten.co.jp/,93,dofollow,Пример размещения https://plaza.rakuten.co.jp/motozillaua/diary/202212150000/,subdomains,both,31,226,350692,4100,17206,33000,137147,159239,306504,27118.67,"(jp, 260912)",,,,,327547,260246,124231,146058,44755,"1,01E+09","8,56E+08","1,59E+08",849662,"7,73E+08",62044,63008,43666070,59372907,,Полуавто
15,hatena.ne.jp,93,Dofollow,,subdomains,both,16,127,862127,1857,11610,32771,235855,580034,478388,68689.06,"(jp, 476395)",2,3,76,149.01,572760,323354,266655,128006,38265,"1,10E+09","9,82E+08","1,18E+08",611486,"1,40E+09",498050,585626,"1,40E+08","1,66E+08",,Полуавто
16,Rosalind.info,73,dofollow,"Проходим быструю регистрацию и обязательно подтверждаем электронную почту. Заходим в аккаунт, нажимаем Edit и редактируем биографию. Вставляем контент с нужной ссылкой, сохраняем.",subdomains,both,25,68811,2791,17,39,102,841,1792,1604,65.53,"(us, 956)",,,,,16194,6102,10782,15185,7493,1006001,566906,439095,1038,63,,,,,,Полуавто
17,Disqus.com,92,dofollow,"Профильная индексируемая ссылка, которая поможет разбавить общий ссылочный профиль. Регистрируемся и переходим в меню редактирования профиля. В поле Website вставляем нужную ссылку, а в поле Биография текст с анкором. Можно вставить текст до 200 символов.",subdomains,both,58,298,9763,212,582,1080,3484,4405,55718,5514.39,"(us, 21574)",,,,,206165,154027,65806,145417,50040,"3,34E+08","2,88E+08",46802830,37357,1760563,36016,36450,249085,2466897,,Полуавто
18,cornell.edu,92,Nofollow,,subdomains,both,42,498,2585723,189795,305479,341972,862964,885513,6951846,3867538.58,"(us, 5511756)",2223,2480,10675,24881.12,266834,225101,53711,161240,67187,51942199,48314064,3628135,15873,21593530,60414,76598,1977386,3398412,,Полуавто
19,Mixcloud.com,91,dofollow,"Мощный сайт, но посты в блоге можно публиковать только подключив платный тариф. На бесплатном тарифе вы можете заполнить поле биографии нужным текстом и вставить ссылки на продвигаемые страницы.",subdomains,both,28,868,158051,6928,23503,33434,64699,29487,682793,60893.54,"(vn, 64365)",,,,,162204,114778,57914,101958,40218,66676156,59334612,7341544,5895,"4,49E+08",238,182339,17505507,20474089,,Полуавто
20,producthunt.com,91,dofollow,,subdomains,both,34,878,128906,2499,11901,18500,46712,49294,200552,135908.27,"(in, 51093)",,,,,93273,60929,35979,66687,28605,64317427,58319668,5997759,100642,"1,14E+08",158601,164140,3910492,6760293,,Вручную
21,webflow.io,92,dofollow,"Регистрируемся и публикуемся в профиле,,Полуавто
Пример - https://my-marvelous-site-2565be.webflow.io/",subdomains,both,41,414,400198,11502,35780,53512,153390,146014,733484,199271.99,"(vn, 402172)",1,1,1,0.26,172761,130908,51652,88281,37652,94741894,74059060,20682834,218880,"1,26E+08",212534,214535,"3,88E+08","3,91E+08",,Полуавто
22,hub.docker.com,91,dofollow,,subdomains,both,54,635,105173,4065,9327,12598,30540,48643,903696,1131360.84,"(us, 163582)",,,,,160307,107694,59725,111053,53677,17974338,9680610,8293728,55039,86631908,9268,71541,1156924,3995485,,Вручную
23,gitbook.io,91,dofollow,,subdomains,both,18,765,132451,2796,8858,14759,50512,55526,135794,45207.52,"(id, 27884)",,,,,107275,72283,40049,77280,34088,80432935,60296824,20136111,55736,"1,63E+08",155291,155553,6534576,6582805,,Полуавто
24,ko-fi.com,91,Dofollow,Профильный сабмит,subdomains,both,38,696,61033,447,3403,8602,27462,21119,143540,11098.38,"(us, 75845)",,,,,111097,80296,34523,68312,28199,55860026,45183520,10676506,9059,11439,44,47,1150,1212,,Полуавто
25,Indiegogo.com,90,dofollow,Проходим быструю регистрацию с указанием актуальных данных. Переходим на страницу профиля и указываем в поле биографии уникальный контент. Спускаемся ниже и вставляем в отдельное поле ссылку на свой сайт.,subdomains,both,35,1424,54865,1862,6330,9910,19257,17506,124575,40340.05,"(us, 52702)",14,23,747,71.41,145336,97238,55233,98392,40583,12425261,8745302,3679959,3054,12329441,2343,52466,980495,1962748,,Полуавто
26,Mystrikingly.com,90,dofollow,Регистрируемся на сайте и подтверждаем регистрацию через почту. Создаем блог (на поддомене) и регулярно постим в него контент с нужными ссылками.,subdomains,both,35,1467,242959,3807,12515,26974,103763,95900,186825,35353.13,"(jp, 41304)",79,98,597,150.19,155456,91330,83056,105985,42762,57723438,33991096,23732342,46557,3531776,127380,127460,10544696,10546934,,Полуавто
27,peatix.com,90,dofollow,Проходим регистрацию и подтверждаем ее по почте. Создаем Ивент и на последнем этапе его создания вставляем текст с нужной ссылкой в поле описания Ивента.,subdomains,both,40,1481,16655,271,996,2163,7078,6147,82315,27455.96,"(jp, 79564)",17,20,117,53.68,103053,64074,42885,73458,28516,21493335,9540140,11953195,5769,15369225,2153,2179,3092513,3945936,,Полуавто
28,https://news.ycombinator.com/showhn.html,90,dofollow,,subdomains,both,26,1240,2332632,15166,82928,180013,640489,1414036,799196,461076.02,"(us, 463034)",,,,,81669,63915,21138,57429,26486,44338467,34263910,10074557,3828,13362379,13984,91131,193649,904973,,Вручную
29,tableau.com,90,dofollow,"Ссылка ставится в профиле,,Полуавто
Пример размещения - https://public.tableau.com/app/profile/moto.zilla?authMode=activationSuccess",subdomains,both,32,1359,272539,16241,17657,23879,78595,136167,1681804,1749172.61,"(us, 571183)",1043,992,9346,8534.84,105693,75349,33882,78464,34651,12023115,9008841,3014274,3895,720531,1420,1439,255659,346242,,Полуавто
30,teachable.com,91,dofollow,"После реги, создаем свою школу и потом курсы (вымышленные).,,Полуавто
При создании курса, оставляем тока банер и текст, в котором и пишем ссылку. ,,Полуавто
Кэш сайт не поддерживает, но в серпе ссылка ищется, индекс ее также очень быстрый.,,Полуавто
,,
Так, как курс левый, то со временем удалят скорее всгео, но времени достаточно для прокачки.,,Полуавто
Курс тока 1 на каждый акк создаем, тогда ссылка сразу на странице поддомена аккаунта будет одного курса.",subdomains,both,49,710,114579,4311,8540,13081,43933,44714,1030034,885057.29,"(us, 887395)",286,343,1212,2337.86,83456,64956,21342,48077,19914,38079047,32625982,5453065,2713249,"2,48E+08",24743,24905,588205,1036574,,Полуавто
31,reverbnation.com,90,dofollow,,subdomains,both,29,1331,241482,11097,32438,44196,108943,44808,661120,94854.44,"(in, 227448)",3,6,168,июн.79,112805,68298,48935,73066,30256,24719870,18561655,6158215,4754,26613770,44442,44608,5979129,6003553,,Полуавто
32,heylink.me,92,dofollow,,subdomains,both,46,428,176922,35913,51249,26255,34185,29320,17677237,3287194.88,"(id, 17468099)",121,173,1053,73.48,330673,267223,77977,133949,41452,"3,87E+08","3,40E+08",47025499,397849,2524196,658,197436,719635,1916720,,Полуавто
33,Blurb.com,88,dofollow,"Проходим регистрацию и переходим в раздел профиля. Редактируем информацию о себе и вставляем текст в поле биографии, а ссылку на продвигаемый сайт в раздел Веб-сайт.",subdomains,both,31,2612,62969,3079,5560,8059,23195,23076,77565,47726.86,"(us, 40443)",286,344,1135,1460.82,69089,37546,33229,47548,20321,12248792,10814159,1434633,865,7799881,812,10999,2768967,3151436,,Полуавто
34,https://dev.to/mersano,90,dofollow,"https://dev.to/mersano, регаемся, вставляем ссылку, готово)",subdomains,both,0,1740,967387,25796,96366,132810,331076,381339,1162781,515664.10,"(us, 640629)",,,,,79918,48835,33612,55790,25020,7866651,4913695,2952956,2420,15,,1,,7,,Полуавто
35,gitter.im,89,dofollow,,subdomains,both,32,2291,246,26,31,35,79,75,4342,339.08,"(us, 1584)",,,,,15160,11111,4490,15922,9232,12756659,12120826,635833,48,7954,65,67,5212,5237,,Полуавто
36,bu.edu,89,Nofollow,,subdomains,both,37,2067,704836,25012,47726,84735,255413,291950,894781,429341.30,"(us, 676206)",1618,1577,5307,19753.41,94461,80346,17004,68296,32693,3986672,3684864,301808,4337,3235284,20618,21743,387575,435737,,Полуавто
